"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2003","96.670","96.510","96.750","96.200","1.18K","0.26%"
"Jul 21, 2003","96.420","97.020","97.020","96.300","0.94K","-0.41%"
"Jul 18, 2003","96.820","96.980","97.550","96.600","2.87K","-0.38%"
"Jul 17, 2003","97.190","96.880","97.550","96.830","1.06K","0.20%"
"Jul 16, 2003","97.000","97.260","97.800","96.890","2.02K","-0.23%"
"Jul 15, 2003","97.220","96.400","97.460","95.990","2.54K","0.88%"
"Jul 14, 2003","96.370","96.360","96.610","96.130","1.12K","0.25%"
"Jul 11, 2003","96.130","95.870","96.370","95.850","0.55K","0.48%"
"Jul 10, 2003","95.670","95.900","96.230","95.650","1.00K","-0.23%"
"Jul 09, 2003","95.890","96.080","96.180","95.710","1.46K","-0.31%"
"Jul 08, 2003","96.190","95.880","96.480","95.760","2.06K","0.30%"
"Jul 07, 2003","95.900","95.420","95.950","94.900","5.61K","1.21%"
"Jul 03, 2003","94.750","94.480","95.140","94.410","0.58K","0.37%"
"Jul 02, 2003","94.400","94.560","94.850","94.400","0.97K","-0.26%"
"Jul 01, 2003","94.650","94.860","94.980","94.300","2.27K","-0.48%"
"Jun 30, 2003","95.110","95.490","95.700","95.090","1.73K","-0.40%"
"Jun 27, 2003","95.490","95.370","95.680","95.220","3.61K","0.09%"
"Jun 26, 2003","95.400","94.470","95.440","94.590","2.46K","0.90%"
"Jun 25, 2003","94.550","94.830","94.890","93.880","2.08K","-0.30%"
"Jun 24, 2003","94.830","94.470","95.040","94.340","1.48K","0.38%"
"Jun 23, 2003","94.470","94.510","94.890","94.300","4.29K","0.02%"
"Jun 20, 2003","94.450","93.650","94.730","93.400","1.89K","0.87%"
"Jun 19, 2003","93.640","93.570","94.300","93.380","2.01K","0.03%"
"Jun 18, 2003","93.610","93.060","93.820","93.060","3.26K","0.58%"
"Jun 17, 2003","93.070","92.920","93.350","92.630","1.96K","0.29%"
"Jun 16, 2003","92.800","92.530","92.900","92.370","1.78K","0.60%"
"Jun 13, 2003","92.250","92.840","93.100","92.200","1.28K","-0.69%"
"Jun 12, 2003","92.890","92.960","93.270","92.600","1.19K","-0.14%"
"Jun 11, 2003","93.020","93.620","93.620","92.930","1.26K","-0.64%"
"Jun 10, 2003","93.620","93.540","93.650","93.330","2.62K","0.26%"
"Jun 09, 2003","93.380","93.550","93.700","93.030","6.97K","-0.19%"
"Jun 06, 2003","93.560","92.550","93.640","92.370","2.56K","1.05%"
"Jun 05, 2003","92.590","93.970","94.100","92.300","1.44K","-1.28%"
"Jun 04, 2003","93.790","93.640","93.900","93.480","0.40K","0.25%"
"Jun 03, 2003","93.560","93.470","94.020","93.310","2.13K","0.11%"
"Jun 02, 2003","93.460","93.810","94.150","93.350","1.96K","0.16%"
"May 30, 2003","93.310","92.550","93.710","92.550","1.39K","0.51%"
"May 29, 2003","92.840","93.500","93.990","92.550","1.39K","-0.79%"
"May 28, 2003","93.580","93.120","93.920","92.920","1.03K","0.83%"
"May 27, 2003","92.810","92.700","92.890","92.350","1.05K","-0.34%"
"May 23, 2003","93.130","93.760","93.860","93.010","0.67K","-0.62%"
"May 22, 2003","93.710","93.840","94.050","93.320","0.56K","0.03%"
"May 21, 2003","93.680","93.160","93.750","93.130","1.07K","0.30%"
"May 20, 2003","93.400","93.870","94.100","93.310","1.20K","-0.53%"
"May 19, 2003","93.900","93.630","94.070","93.170","2.11K","-0.30%"
"May 16, 2003","94.180","95.470","95.470","94.150","1.90K","-1.29%"
"May 15, 2003","95.410","94.880","95.530","94.820","1.06K","0.72%"
"May 14, 2003","94.730","94.850","95.170","94.590","0.46K","-0.16%"
"May 13, 2003","94.880","94.770","95.300","94.700","0.73K","0.17%"
"May 12, 2003","94.720","94.670","94.800","94.370","0.89K","-0.46%"
"May 09, 2003","95.160","95.160","95.510","94.890","0.76K","0.05%"
"May 08, 2003","95.110","95.850","96.140","95.010","3.39K","-0.68%"
"May 07, 2003","95.760","95.450","96.090","95.450","2.36K","0.19%"
"May 06, 2003","95.580","96.420","96.470","95.400","2.28K","-0.98%"
"May 05, 2003","96.530","97.000","97.040","96.400","0.43K","-0.42%"
"May 02, 2003","96.940","96.740","97.250","96.660","1.56K","0.06%"
"May 01, 2003","96.880","97.350","97.430","96.470","1.76K","-0.51%"
"Apr 30, 2003","97.380","98.220","98.220","97.320","5.53K","-0.84%"
"Apr 29, 2003","98.200","98.860","99.230","98.190","2.06K","-0.73%"
"Apr 28, 2003","98.920","98.490","98.960","98.230","1.53K","0.30%"
"Apr 25, 2003","98.620","98.450","99.140","98.420","1.01K","0.06%"
"Apr 24, 2003","98.560","99.090","99.120","98.360","1.21K","-0.46%"
"Apr 23, 2003","99.020","99.110","99.320","98.890","0.95K","0.03%"
"Apr 22, 2003","98.990","99.890","99.950","98.680","2.67K","-0.91%"
"Apr 21, 2003","99.900","99.500","100.150","99.500","1.23K","0.34%"
"Apr 17, 2003","99.560","99.320","99.650","99.020","2.79K","0.27%"
"Apr 16, 2003","99.290","100.220","100.220","99.220","1.18K","-0.76%"
"Apr 15, 2003","100.050","100.260","100.600","100.000","0.55K","-0.26%"
"Apr 14, 2003","100.310","100.650","100.760","100.010","0.74K","-0.25%"
"Apr 11, 2003","100.560","100.170","100.980","100.200","0.96K","0.36%"
"Apr 10, 2003","100.200","100.500","100.530","99.850","1.00K","-0.33%"
"Apr 09, 2003","100.530","100.790","101.240","100.390","2.00K","-0.37%"
"Apr 08, 2003","100.900","100.960","101.400","100.900","0.88K","-0.57%"
"Apr 07, 2003","101.480","101.250","102.190","101.250","1.06K","0.59%"
"Apr 04, 2003","100.880","100.430","101.180","100.410","0.50K","0.10%"
"Apr 03, 2003","100.780","100.500","101.090","100.350","0.80K","0.23%"
"Apr 02, 2003","100.550","99.170","100.690","99.170","1.38K","0.97%"
"Apr 01, 2003","99.580","99.340","99.800","99.300","0.93K","0.09%"
"Mar 31, 2003","99.490","100.400","100.420","99.300","2.12K","-0.86%"
"Mar 28, 2003","100.350","101.000","101.160","100.230","4.32K","-0.76%"
"Mar 27, 2003","101.120","100.950","101.180","100.560","0.64K","0.05%"
"Mar 26, 2003","101.070","101.190","101.470","100.890","0.38K","-0.30%"
"Mar 25, 2003","101.370","101.400","101.490","100.820","1.54K","-0.06%"
"Mar 24, 2003","101.430","101.890","102.040","101.250","2.13K","-1.00%"
"Mar 21, 2003","102.450","101.680","102.680","101.720","1.48K","0.81%"
"Mar 20, 2003","101.630","101.460","101.880","101.200","1.54K","-0.47%"
"Mar 19, 2003","102.110","101.450","102.150","101.230","1.20K","0.70%"
"Mar 18, 2003","101.400","101.300","102.060","101.300","1.91K","1.72%"
"Mar 17, 2003","99.690","99.320","99.680","99.320","0.12K","-0.36%"
"Mar 14, 2003","100.050","99.530","100.420","99.500","0.83K","0.44%"
"Mar 13, 2003","99.610","98.880","99.660","98.860","1.17K","1.45%"
"Mar 12, 2003","98.190","98.020","98.390","97.900","1.88K","0.11%"
"Mar 11, 2003","98.080","97.900","98.130","97.630","2.18K","0.16%"
"Mar 10, 2003","97.920","97.930","98.030","97.740","6.08K","-0.18%"
"Mar 07, 2003","98.100","98.010","98.300","97.620","4.55K","-0.27%"
"Mar 06, 2003","98.370","98.400","98.680","98.100","1.43K","0.08%"
"Mar 05, 2003","98.290","98.320","98.600","98.160","2.46K","-0.88%"
"Mar 04, 2003","99.160","98.920","99.200","98.830","2.70K","-0.02%"
"Mar 03, 2003","99.180","99.750","99.820","99.080","3.21K","-0.63%"
"Feb 28, 2003","99.810","100.040","100.080","99.710","2.15K","-0.06%"
"Feb 27, 2003","99.870","99.660","100.160","99.350","1.97K","0.18%"
"Feb 26, 2003","99.690","100.070","100.210","99.550","0.46K","-0.22%"
"Feb 25, 2003","99.910","99.680","100.160","99.500","1.20K","0.17%"
"Feb 24, 2003","99.740","100.190","100.300","99.660","1.00K","-0.51%"
"Feb 21, 2003","100.250","99.670","100.360","99.530","1.24K","0.60%"
"Feb 20, 2003","99.650","100.050","100.150","99.550","1.33K","-0.53%"
"Feb 19, 2003","100.180","100.450","100.550","100.100","0.31K","-0.52%"
"Feb 18, 2003","100.700","100.370","100.750","100.380","0.53K","0.45%"
"Feb 14, 2003","100.250","99.700","100.300","99.720","1.15K","0.53%"
"Feb 13, 2003","99.720","100.100","100.460","99.600","1.71K","-1.00%"
"Feb 12, 2003","100.730","100.520","100.850","100.250","1.05K","0.11%"
"Feb 11, 2003","100.620","100.630","101.100","100.400","1.79K","0.14%"
"Feb 10, 2003","100.480","99.770","100.640","99.860","1.93K","0.71%"
"Feb 07, 2003","99.770","100.030","100.500","99.700","1.55K","0.08%"
"Feb 06, 2003","99.690","99.780","99.920","99.510","0.49K","-0.21%"
"Feb 05, 2003","99.900","99.000","100.340","98.870","2.48K","0.61%"
"Feb 04, 2003","99.290","99.770","99.860","99.120","1.25K","-0.83%"
"Feb 03, 2003","100.120","100.460","100.700","100.000","1.35K","-0.02%"
"Jan 31, 2003","100.140","99.590","100.470","99.570","1.48K","0.39%"
"Jan 30, 2003","99.750","99.740","100.300","99.650","2.00K","0.22%"
"Jan 29, 2003","99.530","99.260","99.750","99.150","1.06K","-0.21%"
"Jan 28, 2003","99.740","99.980","100.000","99.600","1.37K","0.20%"
"Jan 27, 2003","99.540","99.440","99.990","99.050","1.08K","0.09%"
"Jan 24, 2003","99.450","99.860","100.150","99.410","1.75K","-0.72%"
"Jan 23, 2003","100.170","100.350","100.430","99.980","0.91K","-0.36%"
